loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_term_months,emi,start_date,end_date,loan_status
LOAN000124,CUST007440,Personal Loan,1815716,14.13,12,163138.99,2025-07-24,2039-01-12,Defaulted
LOAN000125,CUST009326,Gold Loan,4339186,9.84,240,41415.14,2024-11-22,2041-08-02,Active
LOAN000126,CUST002301,Car Loan,2045529,13.63,120,31306.72,2021-10-14,2044-10-25,Active
LOAN000127,CUST007667,Education Loan,2596749,12.17,60,57986.57,2018-04-13,2033-01-02,Defaulted
LOAN000128,CUST005805,Gold Loan,1824197,8.1,120,22229.05,2022-04-05,2027-01-27,Active
LOAN000129,CUST012023,Education Loan,1267534,12.08,84,22429.7,2023-10-23,2025-07-16,Closed
LOAN000130,CUST015538,Home Loan,193725,12.36,120,2819.86,2019-01-18,2036-10-07,Active
LOAN000131,CUST009758,Personal Loan,3669633,8.05,12,319300.45,2023-06-27,2034-04-16,Closed
LOAN000132,CUST012015,Home Loan,2232299,10.28,24,103298.0,2024-03-18,2035-08-15,Active
LOAN000133,CUST005212,Home Loan,3737951,12.77,240,43181.91,2023-04-27,2034-12-08,Active
LOAN000134,CUST011549,Car Loan,2383374,8.85,180,23961.56,2019-01-21,2022-01-31,Defaulted
LOAN000135,CUST012367,Home Loan,2235116,7.82,84,34636.89,2021-04-18,2022-12-22,Closed
LOAN000136,CUST009271,Car Loan,887370,7.56,180,8256.31,2023-12-24,2032-09-23,Active
LOAN000137,CUST003976,Education Loan,356621,14.4,12,32087.13,2019-03-03,2040-02-23,Closed
LOAN000138,CUST016091,Education Loan,3274147,9.67,84,53798.08,2018-06-20,2023-01-23,Active
LOAN000139,CUST017233,Home Loan,2199500,7.78,36,68701.33,2017-05-23,2018-01-30,Closed
LOAN000140,CUST017444,Gold Loan,4953995,10.85,12,437495.75,2019-10-11,2041-12-26,Active
LOAN000141,CUST013657,Personal Loan,2977792,12.41,84,53221.31,2017-08-17,2043-06-18,Active
LOAN000142,CUST015646,Home Loan,3077311,14.12,36,105354.64,2024-07-15,2045-03-07,Closed
LOAN000143,CUST002731,Personal Loan,1729048,13.39,12,154750.41,2020-01-25,2032-12-29,Closed
LOAN000144,CUST003299,Home Loan,352136,11.46,240,3745.58,2022-04-23,2035-05-15,Closed
LOAN000145,CUST008957,Gold Loan,3292744,7.89,240,27316.84,2019-01-04,2044-02-03,Closed
LOAN000146,CUST017411,Education Loan,2265169,13.52,120,34519.69,2023-10-19,2044-01-29,Active
LOAN000147,CUST015156,Gold Loan,1445843,14.34,24,69651.55,2024-02-09,2042-01-17,Closed
LOAN000148,CUST017277,Education Loan,1960139,11.3,12,173514.75,2019-07-18,2036-07-17,Defaulted
LOAN000149,CUST006704,Gold Loan,1057908,9.32,84,17193.07,2018-11-02,2034-04-07,Active
LOAN000150,CUST001969,Home Loan,1484138,13.92,240,18369.4,2019-11-06,2028-02-27,Closed
LOAN000151,CUST004937,Car Loan,2132130,10.27,180,23265.44,2018-09-10,2040-09-05,Closed
LOAN000152,CUST002113,Car Loan,441426,8.17,60,8986.48,2023-02-01,2044-08-31,Defaulted
LOAN000153,CUST000879,Education Loan,3999940,13.11,24,190371.17,2024-08-23,2031-03-05,Closed
LOAN000154,CUST019076,Education Loan,4140376,8.29,60,84527.71,2020-08-18,2043-09-26,Active
LOAN000155,CUST012990,Personal Loan,818828,8.13,120,9990.98,2022-07-09,2024-09-11,Defaulted
LOAN000156,CUST007278,Gold Loan,2123577,8.3,180,20663.49,2019-03-06,2036-02-25,Defaulted
LOAN000157,CUST005710,Education Loan,491419,7.67,120,5876.92,2019-02-21,2045-02-04,Closed
LOAN000158,CUST012079,Car Loan,4881305,14.19,84,91988.82,2025-07-18,2028-05-25,Closed
LOAN000159,CUST006688,Gold Loan,3319866,8.99,120,42036.69,2019-11-04,2027-03-04,Defaulted
LOAN000160,CUST006419,Home Loan,1720984,9.03,60,35749.86,2019-10-02,2043-12-29,Closed
LOAN000161,CUST010432,Education Loan,3006546,7.71,12,261131.75,2022-10-13,2027-06-15,Active
LOAN000162,CUST009983,Home Loan,1439155,7.88,60,29098.29,2024-10-30,2034-04-28,Defaulted
LOAN000163,CUST019074,Car Loan,2238827,10.92,60,48588.25,2018-12-09,2031-03-28,Closed
LOAN000164,CUST004630,Home Loan,1118974,10.03,120,14805.92,2017-09-30,2029-12-01,Active
LOAN000165,CUST008863,Home Loan,1066365,12.2,240,11890.62,2019-04-11,2035-01-06,Defaulted
LOAN000166,CUST004668,Gold Loan,1809963,11.97,12,160787.62,2019-04-17,2028-02-20,Defaulted
LOAN000167,CUST014164,Education Loan,215126,9.32,24,9859.59,2019-05-29,2025-04-09,Active
LOAN000168,CUST000386,Car Loan,270081,8.95,60,5599.89,2018-02-02,2023-04-14,Defaulted
LOAN000169,CUST004187,Car Loan,3051607,12.92,36,102703.15,2017-10-12,2023-02-14,Closed
LOAN000170,CUST005346,Education Loan,2447396,14.1,84,45999.53,2023-01-05,2033-09-01,Active
LOAN000171,CUST002196,Gold Loan,4390681,11.92,36,145665.73,2024-10-22,2028-03-13,Active
LOAN000172,CUST014991,Education Loan,889415,8.64,60,18307.78,2023-03-02,2023-10-24,Defaulted
LOAN000173,CUST012635,Home Loan,3541689,11.5,240,37769.62,2020-02-09,2037-03-18,Active
LOAN000174,CUST001078,Car Loan,1511337,9.22,36,48215.01,2025-02-21,2045-03-09,Active
LOAN000175,CUST006287,Car Loan,1523037,13.69,240,18597.35,2021-04-11,2028-04-10,Closed
LOAN000176,CUST005934,Car Loan,347015,7.91,36,10859.79,2017-12-13,2018-03-25,Active
LOAN000177,CUST018513,Personal Loan,510358,8.09,60,10370.22,2025-06-10,2046-03-06,Closed
LOAN000178,CUST019718,Car Loan,591838,7.7,36,18464.25,2020-04-06,2030-07-16,Closed
LOAN000179,CUST013364,Gold Loan,3744216,13.5,24,178887.46,2017-05-22,2021-04-08,Defaulted
LOAN000180,CUST008073,Gold Loan,1661711,10.98,180,18866.09,2018-05-15,2021-02-07,Closed
LOAN000181,CUST017021,Car Loan,4742104,13.27,84,86965.79,2025-04-10,2043-12-21,Closed
LOAN000182,CUST009544,Gold Loan,2742127,11.93,12,243544.88,2025-03-16,2028-02-28,Active
LOAN000183,CUST019095,Home Loan,1444817,13.41,84,26607.18,2020-01-13,2032-10-31,Active
LOAN000184,CUST013356,Education Loan,1739780,13.91,24,83457.9,2024-04-20,2031-04-25,Defaulted
LOAN000185,CUST018632,Personal Loan,1149963,9.35,84,18706.76,2025-01-08,2030-09-28,Closed
LOAN000186,CUST002849,Personal Loan,516974,11.9,12,45908.33,2023-02-21,2032-08-11,Active
LOAN000187,CUST012792,Home Loan,1841565,12.68,240,21156.9,2019-04-23,2035-01-01,Defaulted
LOAN000188,CUST007723,Home Loan,1935128,13.37,12,173176.46,2019-12-18,2024-05-23,Active
LOAN000189,CUST000813,Gold Loan,1564553,9.95,84,25933.03,2019-09-17,2043-02-18,Active
LOAN000190,CUST011194,Home Loan,430710,8.75,84,6875.21,2017-02-17,2043-06-01,Active
LOAN000191,CUST005136,Personal Loan,1989310,13.0,240,23306.27,2025-04-27,2034-04-11,Closed
LOAN000192,CUST008511,Home Loan,1554999,12.66,84,28001.85,2022-04-05,2029-05-22,Closed
LOAN000193,CUST007435,Personal Loan,4536333,9.76,180,48083.79,2021-10-03,2045-03-06,Active
LOAN000194,CUST016477,Education Loan,2815798,12.37,84,50265.41,2023-11-11,2024-07-22,Active
LOAN000195,CUST000937,Car Loan,2662232,10.85,180,30008.56,2020-01-14,2027-01-06,Closed
LOAN000196,CUST011966,Gold Loan,4777710,8.91,84,76650.91,2023-10-22,2045-12-20,Active
LOAN000197,CUST001693,Car Loan,1105497,14.35,24,53261.07,2022-07-28,2034-04-15,Active
LOAN000198,CUST006217,Home Loan,946331,12.34,120,13763.75,2023-07-16,2028-09-12,Active
LOAN000199,CUST009460,Car Loan,2161117,14.27,60,50588.43,2018-06-03,2032-10-10,Closed
LOAN000200,CUST012528,Personal Loan,2216133,8.76,180,22162.2,2022-07-25,2045-06-25,Closed
LOAN000201,CUST015485,Home Loan,4068012,8.42,24,184765.39,2024-06-06,2031-03-29,Active
LOAN000202,CUST005793,Car Loan,2126808,10.28,120,28436.72,2016-08-10,2023-02-08,Closed
LOAN000203,CUST012267,Home Loan,1482299,11.38,24,69348.56,2025-04-30,2028-03-29,Defaulted
LOAN000204,CUST002222,Education Loan,3229573,11.0,24,150523.42,2017-07-16,2038-11-13,Closed
LOAN000205,CUST015758,Gold Loan,3622815,10.52,24,168045.36,2020-07-20,2033-11-13,Active
LOAN000206,CUST004694,Personal Loan,2955678,11.91,84,52033.64,2024-06-14,2030-06-12,Active
LOAN000207,CUST010109,Gold Loan,3998376,8.94,12,349552.65,2022-05-20,2023-10-21,Active
LOAN000208,CUST005108,Gold Loan,4425843,13.7,240,54074.61,2022-11-13,2032-03-22,Closed
LOAN000209,CUST013481,Education Loan,3278946,9.15,60,68304.48,2018-03-27,2043-07-08,Active
LOAN000210,CUST004746,Home Loan,565666,7.65,240,4608.99,2024-05-05,2042-05-06,Defaulted
LOAN000211,CUST001605,Gold Loan,4643974,14.47,36,159782.19,2025-04-07,2036-07-30,Defaulted
LOAN000212,CUST017396,Car Loan,2707320,11.63,36,89444.08,2019-08-14,2026-06-10,Closed
LOAN000213,CUST016864,Car Loan,3400705,11.67,180,40094.98,2022-10-17,2031-03-18,Active
LOAN000214,CUST008214,Gold Loan,4167820,8.14,60,84787.89,2023-10-26,2025-11-10,Active
LOAN000215,CUST001093,Education Loan,2168102,10.72,120,29523.01,2017-08-25,2024-10-27,Active
LOAN000216,CUST013885,Home Loan,2982906,13.36,12,266929.11,2018-11-30,2019-09-24,Closed
LOAN000217,CUST006312,Education Loan,1949375,14.11,240,24396.78,2018-09-28,2042-09-19,Active
LOAN000218,CUST009013,Gold Loan,2242954,8.69,24,102150.05,2024-05-06,2027-11-04,Defaulted
LOAN000219,CUST000352,Car Loan,839376,10.42,60,18008.22,2024-04-01,2032-11-12,Defaulted
LOAN000220,CUST014783,Car Loan,4772090,10.01,120,63089.95,2022-12-22,2032-01-15,Active
LOAN000221,CUST001531,Personal Loan,2488795,7.57,36,77497.04,2019-07-08,2024-12-26,Closed
LOAN000222,CUST013592,Home Loan,2788177,9.62,240,26208.34,2017-11-17,2036-06-17,Active
LOAN000223,CUST015216,Home Loan,2611257,12.34,36,87155.75,2020-07-02,2030-09-29,Closed
LOAN000224,CUST011541,Home Loan,2457160,8.39,180,24038.45,2019-04-16,2022-08-05,Defaulted
LOAN000225,CUST000219,Gold Loan,1238614,7.91,180,11772.58,2019-10-24,2041-10-29,Closed
LOAN000226,CUST006814,Personal Loan,4327982,13.32,240,51695.42,2018-09-19,2024-03-02,Active
LOAN000227,CUST005358,Gold Loan,2426798,8.93,180,24513.25,2023-09-18,2032-01-28,Defaulted
LOAN000228,CUST015730,Personal Loan,4669495,8.2,36,146756.21,2019-03-23,2043-12-22,Active
LOAN000229,CUST013044,Home Loan,2176357,13.8,24,104287.66,2024-05-06,2025-12-26,Defaulted
LOAN000230,CUST001454,Personal Loan,1038641,11.54,240,11105.02,2017-08-04,2023-09-29,Defaulted
LOAN000231,CUST014933,Home Loan,298720,10.31,60,6392.58,2022-10-29,2043-07-12,Defaulted
LOAN000232,CUST004741,Personal Loan,961079,10.58,180,10671.47,2024-09-06,2040-05-22,Closed
LOAN000233,CUST002815,Car Loan,1793921,8.28,60,36615.12,2023-11-10,2044-06-05,Defaulted
LOAN000234,CUST007887,Car Loan,2007173,8.24,180,19460.72,2020-07-06,2022-04-19,Closed
LOAN000235,CUST004974,Education Loan,3629183,12.09,240,40188.38,2020-04-21,2021-04-26,Closed
LOAN000236,CUST001183,Personal Loan,1909206,11.08,60,41586.98,2017-10-21,2043-01-14,Closed
LOAN000237,CUST010036,Personal Loan,1777813,13.41,240,21349.84,2025-02-26,2028-09-30,Active
LOAN000238,CUST003948,Car Loan,4706090,14.06,120,73239.65,2018-06-25,2039-01-15,Defaulted
LOAN000239,CUST003190,Personal Loan,938791,12.2,60,20977.89,2019-09-11,2020-05-31,Closed
LOAN000240,CUST014481,Home Loan,4710787,7.82,84,73001.59,2019-12-05,2020-07-03,Defaulted
LOAN000241,CUST019827,Personal Loan,805738,8.28,84,12671.1,2025-05-27,2040-09-22,Defaulted
LOAN000242,CUST009624,Home Loan,928321,8.98,36,29511.72,2023-07-24,2028-09-22,Closed
LOAN000243,CUST001007,Gold Loan,4150073,8.87,180,41772.47,2023-02-18,2029-09-24,Closed
LOAN000244,CUST002326,Car Loan,279269,10.61,60,6017.81,2019-01-17,2032-06-30,Defaulted
LOAN000245,CUST010646,Car Loan,4853393,10.08,60,103311.41,2020-01-24,2031-10-30,Active
LOAN000246,CUST019524,Personal Loan,4726291,10.92,12,417541.09,2017-10-02,2034-11-29,Defaulted
LOAN000247,CUST017726,Car Loan,656715,7.88,12,57090.18,2022-07-11,2024-06-12,Active
LOAN000248,CUST005744,Home Loan,4530812,8.23,240,38548.63,2018-09-18,2033-11-08,Active
LOAN000249,CUST012681,Home Loan,4838550,12.42,120,70598.97,2016-11-21,2031-08-14,Active
LOAN000250,CUST014584,Home Loan,2693482,13.57,84,49838.25,2020-09-09,2025-03-13,Closed
LOAN000251,CUST019258,Home Loan,2987412,13.57,84,55276.91,2017-07-19,2025-06-19,Active
LOAN000252,CUST011882,Personal Loan,4384983,12.37,84,78277.27,2022-02-26,2045-11-30,Defaulted
LOAN000253,CUST001028,Home Loan,4620145,9.43,120,59606.62,2020-08-08,2031-07-13,Active
LOAN000254,CUST004070,Education Loan,4684365,14.4,84,88823.4,2020-05-11,2041-01-29,Closed
LOAN000255,CUST018573,Education Loan,3884414,7.9,180,36897.58,2022-01-15,2043-12-16,Active
LOAN000256,CUST014653,Personal Loan,3902761,13.86,12,350160.63,2024-08-05,2040-08-31,Active
LOAN000257,CUST006651,Personal Loan,4627973,12.86,240,53759.3,2018-11-13,2022-01-14,Active
LOAN000258,CUST015784,Car Loan,1651279,12.22,180,20052.44,2021-12-16,2036-12-31,Defaulted
LOAN000259,CUST017649,Education Loan,1034807,13.96,24,49664.52,2023-03-10,2037-01-18,Active
LOAN000260,CUST004623,Gold Loan,3248931,11.19,36,106658.4,2018-11-28,2046-06-17,Closed
LOAN000261,CUST010386,Education Loan,1541222,10.29,240,15170.46,2021-07-02,2032-09-25,Active
LOAN000262,CUST013671,Car Loan,1304685,13.12,240,15397.04,2020-12-16,2033-11-23,Active
LOAN000263,CUST014047,Gold Loan,2285519,10.38,60,48988.96,2024-11-05,2035-02-20,Closed
LOAN000264,CUST001963,Gold Loan,3024601,13.56,240,36648.92,2020-10-07,2021-09-28,Defaulted
LOAN000265,CUST019875,Personal Loan,3505608,7.57,36,109158.94,2018-10-03,2045-11-26,Defaulted
